09-13-2026 00:27:26 RAM 6672/7620MB (lfb 9x64kB) SWAP 911/12002MB (cached 9MB) CPU [50%@1728,1%@1728,0%@1728,0%@1728,0%@1190,80%@1190] GR3D_FREQ 25% cpu@51.218C soc2@49.25C soc0@49.562C gpu@50.5C tj@50.968C soc1@50.312C VDD_IN 8121mW/5901mW VDD_CPU_GPU_CV 2847mW/1430mW VDD_SOC 1861mW/1547mW
09-13-2026 00:27:26 RAM 6780/7620MB (lfb 5x64kB) SWAP 919/12002MB (cached 9MB) CPU [46%@1728,1%@1728,2%@1728,0%@1728,0%@1728,96%@1728] GR3D_FREQ 44% cpu@51.406C soc2@49.562C soc0@49.718C gpu@51.062C tj@51.406C soc1@50.312C VDD_IN 9888mW/5969mW VDD_CPU_GPU_CV 4139mW/1476mW VDD_SOC 2013mW/1555mW
09-13-2026 00:27:27 RAM 6781/7620MB (lfb 3x1MB) SWAP 919/12002MB (cached 9MB) CPU [2%@883,1%@883,1%@883,13%@883,0%@1728,100%@1728] GR3D_FREQ 49% cpu@51.687C soc2@49.5C soc0@50C gpu@50.875C tj@51.687C soc1@50.375C VDD_IN 8834mW/6016mW VDD_CPU_GPU_CV 3474mW/1509mW VDD_SOC 1858mW/1560mW
09-13-2026 00:27:28 RAM 6782/7620MB (lfb 3x1MB) SWAP 919/12002MB (cached 9MB) CPU [3%@1728,0%@1728,0%@1728,30%@1728,0%@1728,98%@1728] GR3D_FREQ 56% cpu@51.5C soc2@49.5C soc0@49.937C gpu@51C tj@51.5C soc1@50.468C VDD_IN 8477mW/6057mW VDD_CPU_GPU_CV 3238mW/1538mW VDD_SOC 1822mW/1564mW
09-13-2026 00:27:28 RAM 6782/7620MB (lfb 3x1MB) SWAP 919/12002MB (cached 9MB) CPU [3%@1728,0%@1728,0%@1728,0%@1728,0%@1728,86%@1728] GR3D_FREQ 99% cpu@51.687C soc2@49.718C soc0@49.906C gpu@52.062C tj@52.062C soc1@50.656C VDD_IN 10819mW/6134mW VDD_CPU_GPU_CV 4683mW/1588mW VDD_SOC 2168mW/1574mW
09-13-2026 00:27:29 RAM 6788/7620MB (lfb 3x1MB) SWAP 919/12002MB (cached 9MB) CPU [10%@1267,2%@1267,3%@1267,10%@1267,5%@1728,96%@1728] GR3D_FREQ 35% cpu@51.812C soc2@49.812C soc0@50C gpu@51.406C tj@51.812C soc1@50.593C VDD_IN 10424mW/6202mW VDD_CPU_GPU_CV 4565mW/1636mW VDD_SOC 2053mW/1582mW
09-13-2026 00:27:29 RAM 6789/7620MB (lfb 3x1MB) SWAP 919/12002MB (cached 9MB) CPU [21%@729,23%@729,16%@729,13%@729,44%@1728,100%@1728] GR3D_FREQ 48% cpu@51.656C soc2@49.937C soc0@49.968C gpu@51.218C tj@51.656C soc1@50.656C VDD_IN 9294mW/6250mW VDD_CPU_GPU_CV 3863mW/1670mW VDD_SOC 1898mW/1587mW
09-13-2026 00:27:30 RAM 6789/7620MB (lfb 3x1MB) SWAP 919/12002MB (cached 9MB) CPU [0%@1728,0%@1728,0%@1728,1%@1728,1%@1728,98%@1728] GR3D_FREQ 59% cpu@51.718C soc2@49.875C soc0@50.062C gpu@51.218C tj@51.718C soc1@50.593C VDD_IN 8517mW/6285mW VDD_CPU_GPU_CV 3316mW/1696mW VDD_SOC 1819mW/1590mW
09-13-2026 00:27:30 RAM 6873/7620MB (lfb 3x512kB) SWAP 919/12002MB (cached 9MB) CPU [6%@1113,1%@1113,0%@1113,0%@1113,0%@1728,86%@1728] GR3D_FREQ 99% cpu@52.156C soc2@50.218C soc0@50.312C gpu@52.718C tj@52.718C soc1@50.656C VDD_IN 13557mW/6395mW VDD_CPU_GPU_CV 6266mW/1765mW VDD_SOC 2672mW/1607mW
09-13-2026 00:27:31 RAM 6941/7620MB (lfb 10x256kB) SWAP 919/12002MB (cached 9MB) CPU [21%@729,5%@729,1%@729,0%@729,0%@1728,80%@1728] GR3D_FREQ 35% cpu@52.156C soc2@50.218C soc0@50.343C gpu@51.687C tj@52.156C soc1@50.75C VDD_IN 11590mW/6473mW VDD_CPU_GPU_CV 4912mW/1812mW VDD_SOC 2597mW/1621mW
