09-14-2026 15:55:27 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [4%@1728,15%@1728,5%@1728,11%@1728,2%@1497,52%@1497] GR3D_FREQ 0% cpu@53.156C soc2@51.468C soc0@51.906C gpu@52.312C tj@53.156C soc1@52.593C VDD_IN 6120mW/5842mW VDD_CPU_GPU_CV 1349mW/1420mW VDD_SOC 1666mW/1543mW
09-14-2026 15:55:28 RAM 5700/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [30%@1420,16%@1420,6%@1420,13%@1420,0%@729,34%@729] GR3D_FREQ 0% cpu@53.156C soc2@51.437C soc0@51.937C gpu@52.187C tj@53.312C soc1@52.718C VDD_IN 5683mW/5839mW VDD_CPU_GPU_CV 1309mW/1418mW VDD_SOC 1550mW/1543mW
09-14-2026 15:55:28 RAM 5692/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [28%@1728,5%@1728,16%@1728,10%@1728,0%@729,28%@729] GR3D_FREQ 0% cpu@53.625C soc2@51.593C soc0@51.843C gpu@52.281C tj@53.625C soc1@52.718C VDD_IN 5921mW/5841mW VDD_CPU_GPU_CV 1388mW/1417mW VDD_SOC 1589mW/1544mW
09-14-2026 15:55:29 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [6%@1728,2%@1728,6%@1728,19%@1728,0%@806,54%@806] GR3D_FREQ 0% cpu@53.375C soc2@51.5C soc0@52.093C gpu@52.218C tj@53.375C soc1@52.656C VDD_IN 6080mW/5845mW VDD_CPU_GPU_CV 1349mW/1416mW VDD_SOC 1666mW/1546mW
09-14-2026 15:55:29 RAM 5690/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [2%@1728,2%@1728,36%@1728,30%@1728,0%@1728,29%@1728] GR3D_FREQ 0% cpu@53.5C soc2@51.5C soc0@52.031C gpu@52.25C tj@53.5C soc1@52.687C VDD_IN 5683mW/5842mW VDD_CPU_GPU_CV 1309mW/1414mW VDD_SOC 1550mW/1546mW
09-14-2026 15:55:30 RAM 5693/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [5%@1651,1%@1651,0%@1651,31%@1651,0%@1497,50%@1497] GR3D_FREQ 0% cpu@53.25C soc2@51.437C soc0@52C gpu@52.218C tj@53.25C soc1@52.625C VDD_IN 6200mW/5849mW VDD_CPU_GPU_CV 1428mW/1414mW VDD_SOC 1666mW/1548mW
09-14-2026 15:55:30 RAM 5693/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [8%@1728,45%@1728,32%@1728,2%@1728,0%@960,15%@960] GR3D_FREQ 0% cpu@53.156C soc2@51.5C soc0@52C gpu@52.25C tj@53.218C soc1@52.781C VDD_IN 5802mW/5848mW VDD_CPU_GPU_CV 1388mW/1414mW VDD_SOC 1550mW/1548mW
09-14-2026 15:55:31 RAM 5694/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,0%@1728,31%@1728,0%@1728,1%@806,52%@806] GR3D_FREQ 60% cpu@53.187C soc2@51.437C soc0@51.937C gpu@52.406C tj@53.187C soc1@52.781C VDD_IN 6309mW/5856mW VDD_CPU_GPU_CV 1507mW/1416mW VDD_SOC 1706mW/1551mW
09-14-2026 15:55:31 RAM 5695/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [34%@1728,39%@1728,5%@1728,1%@1728,9%@1036,18%@1036] GR3D_FREQ 0% cpu@53.375C soc2@51.531C soc0@51.906C gpu@52.5C tj@53.375C soc1@52.75C VDD_IN 5882mW/5856mW VDD_CPU_GPU_CV 1428mW/1416mW VDD_SOC 1550mW/1551mW
09-14-2026 15:55:32 RAM 5713/7620MB (lfb 2x512kB) SWAP 648/8192MB (cached 200MB) CPU [31%@1728,6%@1728,2%@1728,2%@1728,2%@729,58%@729] GR3D_FREQ 0% cpu@53.75C soc2@51.687C soc0@52.062C gpu@52.218C tj@53.5C soc1@52.656C VDD_IN 5723mW/5854mW VDD_CPU_GPU_CV 1428mW/1416mW VDD_SOC 1510mW/1550mW
09-14-2026 15:55:32 RAM 5698/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [9%@1344,32%@1344,3%@1344,17%@1344,0%@729,24%@729] GR3D_FREQ 0% cpu@53.562C soc2@51.468C soc0@51.968C gpu@52.468C tj@53.562C soc1@52.687C VDD_IN 5961mW/5856mW VDD_CPU_GPU_CV 1428mW/1416mW VDD_SOC 1589mW/1551mW
09-14-2026 15:55:33 RAM 5698/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [3%@729,15%@729,2%@729,25%@729,46%@729,3%@729] GR3D_FREQ 95% cpu@53.218C soc2@51.5C soc0@51.968C gpu@52.468C tj@53.218C soc1@52.593C VDD_IN 5961mW/5857mW VDD_CPU_GPU_CV 1349mW/1415mW VDD_SOC 1589mW/1552mW
09-14-2026 15:55:33 RAM 5698/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [4%@729,30%@729,21%@729,4%@729,31%@1728,5%@1728] GR3D_FREQ 0% cpu@53.5C soc2@51.468C soc0@51.968C gpu@52.437C tj@53.5C soc1@52.812C VDD_IN 5882mW/5858mW VDD_CPU_GPU_CV 1388mW/1415mW VDD_SOC 1550mW/1552mW
09-14-2026 15:55:34 RAM 5698/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [5%@729,2%@729,33%@729,1%@729,45%@729,5%@729] GR3D_FREQ 96% cpu@53.156C soc2@51.531C soc0@51.906C gpu@52.812C tj@53.156C soc1@52.875C VDD_IN 6001mW/5860mW VDD_CPU_GPU_CV 1388mW/1414mW VDD_SOC 1626mW/1553mW
09-14-2026 15:55:34 RAM 5698/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [68%@1574,3%@1574,24%@1574,2%@1574,0%@883,0%@883] GR3D_FREQ 0% cpu@53.843C soc2@51.656C soc0@51.937C gpu@52.5C tj@53.687C soc1@52.75C VDD_IN 5882mW/5860mW VDD_CPU_GPU_CV 1388mW/1414mW VDD_SOC 1550mW/1553mW
09-14-2026 15:55:35 RAM 5698/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [32%@1728,3%@1728,2%@1728,50%@1728,0%@729,0%@729] GR3D_FREQ 85% cpu@53.468C soc2@51.656C soc0@52.031C gpu@52.593C tj@53.468C soc1@52.718C VDD_IN 6319mW/5867mW VDD_CPU_GPU_CV 1468mW/1415mW VDD_SOC 1706mW/1555mW
09-14-2026 15:55:35 RAM 5700/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [46%@1728,28%@1728,7%@1728,20%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@53.562C soc2@51.562C soc0@52.031C gpu@52.468C tj@53.562C soc1@52.625C VDD_IN 5723mW/5865mW VDD_CPU_GPU_CV 1349mW/1414mW VDD_SOC 1550mW/1555mW
